시장명,소재지도로명주소,소재지지번주소,사용가능상품권,공중화장실 보유여부,주차장 보유여부
춘천남부시장,강원도 춘천시 공지로 367,강원 춘천시 효자1동 684-11번지 ,온누리상품권,Y,Y
춘천동부시장,강원도 춘천시 동부시장길8,강원 춘천시 운교동 183번지 ,온누리상품권,Y,Y
춘천서부시장,강원도 춘천시 서부대성로 12,강원 춘천시 소양로2가 172-1번지 ,온누리상품권,Y,Y
춘천번개시장,강원도 춘천시 소양로 1가 번개 시장길,강원 춘천시 소양로 1가,온누리상품권,Y,N
제일종합시장,강원도 춘천시 약사고개길 13,강원 춘천시 죽림동 32번지 ,온누리상품권,Y,Y
춘천풍물시장,강원도 춘천시 영서로 2352-28,강원 춘천시 온의동 29-3번지 일원 ,온누리상품권,Y,Y
춘천중앙시장,강원도 춘천시 중앙로2가 81-3,강원 춘천시 중앙로2가 42-18번지 ,온누리상품권,Y,N
후평일단지시장,강원도 춘천시 효평길 104(후평동),강원 춘천시 후평2동 692-24번지 일원 ,온누리상품권,Y,Y
황지자유시장,강원도 태백시 시장안1길 18-1,강원 태백시 황지동 38번지 ,온누리상품권,Y,Y
장성중앙시장,강원도 태백시 장성1길 190,강원 태백시 장성동 159-2번지 ,온누리상품권,Y,Y
대화전통시장,강원도 평창군 대화면 대화시장 2길 6,강원 평창군 대화면 대화리 1001-5번지 외 ,없음,Y,Y
봉평전통시장,강원도 평창군 봉평면 허생원 장터길 15,강원 평창군 봉평면 창동리 353-1번지 외 ,온누리상품권,Y,N
진부전통시장,강원도 평창군 진부면 진부 중앙로 61,강원 평창군 진부면 하진부리 138-1번지 외 ,온누리상품권,Y,Y
"평창올림픽시장(구,평창전통시장)",강원도 평창군 평창읍,강원 평창군 평창읍 하리 139-1 ,온누리상품권,Y,Y
홍천중앙시장,강원도 홍천군 홍천읍 신장대리 5-3,강원 홍천군 홍천읍 신장대리 5-3번지 ,온누리상품권,Y,N
홍천시장,강원도 홍천군 홍천읍 홍천로8길 13 ,강원 홍천군 홍천읍 신장대리 8-130번지 ,온누리상품권,Y,N
화천재래시장,강원도 화천군 중앙로 24길 12,강원 화천군 화천읍 하리 44-41번지 외 ,온누리상품권,Y,Y
횡성시장,강원도 횡성군 읍상서로 5번길 26,강원 횡성군 횡성읍 읍하리 277-3번지 ,온누리상품권,Y,Y
가평잣고을전통시장,경기도 가평군 가평읍 가화로 116-1,경기 가평군 가평읍 읍내리 473-15 일원 ,온누리상품권,Y,Y
능곡시장,경기도 고양시 덕양구 능곡로 12-9,경기 고양시 덕양구토당동 383-10,온누리상품권,Y,N
원당시장,경기도 고양시 덕양구 성사동 697-14,경기 고양시 덕양구성사동 697-14,온누리상품권,N,N
일산시장,경기도 고양시 일산서구 일청로 12번길 9,경기 고양시 일산서구일산동 617-20,온누리상품권,Y,Y
덕이동패션1번지,경기도 고양시 일산서구 탄중로 101번길 13,경기 고양시 일산서구덕이동 384-1,온누리상품권,Y,Y
과천새서울프라자시장,경기도 과천시 별양 상가 2로 20,경기 과천시 별양동 1-18,온누리상품권,Y,Y
제일쇼핑시장,경기도 과천시 별양동 1-13,경기 과천시 별양동 1-13,온누리상품권,Y,Y
광명새마을시장,경기도 광명시 광명로 831번길,경기 광명시 광명동 290,온누리상품권,Y,Y
광명시장,경기도 광명시 오리로 971,경기 광명시 광명동 158,온누리상품권,Y,N
경안시장,경기도 광주시 경안로 25번길 14-1,경기 광주시 경안동 33-16,온누리상품권,Y,Y
구리전통시장,경기도 구리시 검배로 6번길 31,경기 구리시 수택동 417,온누리상품권,Y,Y
군포역전시장,경기도 군포시 군포로 540,경기 군포시 당동 749,온누리상품권,Y,N
산본시장,경기도 군포시 산본천로 1790번길 21,경기 군포시 산본동 221-5,온누리상품권,Y,Y
김포중앙시장,경기도 김포시 북변중로 55-1,경기 김포시 북변동 382-11,온누리상품권,Y,N
양곡시장,경기도 김포시 양촌읍 양곡로 537,경기 김포시 양촌읍 414-3,온누리상품권,Y,N
통진시장(마송5일장시장),경기도 김포시 통진읍 서암로 84번길 29,경기 김포시 통진읍 서암리 721,온누리상품권,N,N
동두천큰시장,경기도 동두천시 생연로 97-1,경기 동두천시 생연동 698-1 ,온누리상품권,Y,Y
동두천제일시장,경기도 동두천시 정장로 12-11,경기 동두천시 생연동 823-22 ,온누리상품권,Y,Y
중앙시장,경기도 동두천시 중앙로 285번길 9,경기 동두천시 생연동 604 ,온누리상품권,Y,Y
세아프라자상가,경기도 동두천시 큰시장로 64,경기 동두천시 생연동 809 ,온누리상품권,Y,Y
역곡남부시장,경기도 부천시 소사구 경인로 498번길 26,경기 부천시 괴안동 108-4 ,온누리상품권,N,N
조공시장,경기도 부천시 소사구 경인옛로 118번길 27,경기 부천시 괴안동 38-10 ,온누리상품권,N,N
청과물시장,경기도 부천시 소사구 심곡로 15번길 42,경기 부천시 심곡본동 660-2,온누리상품권,Y,N
부천한신시장,경기도 부천시 소사구 운성로 68번길 46,경기 부천시 소사본동 196-9,온누리상품권,Y,N
부천자유시장,경기도 부천시 소사구 자유로 33,경기 부천시 심곡본동 543,온누리상품권,Y,N
소사종합시장,경기도 부천시 소사구 호현로 472-1,경기 부천시 소사본동 77,온누리상품권,N,N
고강시장,경기도 부천시 오정구 고리울로 64번길 27,경기 부천시 고강동 407 ,온누리상품권,N,N
오정시장,경기도 부천시 오정구 부천로 470번길,경기 부천시 오정동 582-30,온누리상품권,N,N
원종시장,경기도 부천시 오정구 삼작로 400,경기 부천시 원종동 367,온누리상품권,Y,Y
원종중앙시장,경기도 부천시 오정구 성오로 124번길 47,경기 부천시 원종동 209-5,온누리상품권,Y,Y
부천제일시장,경기도 부천시 오정구 원종동 296,경기 부천시 원종동 202-2,온누리상품권,N,Y
원종종합시장,경기도 부천시 오정구 원종동 372-2,경기 부천시 원종동 367-1,온누리상품권,Y,N
신흥시장,경기도 부천시 오정구 평천로 721번길 14-2,경기 부천시 삼정동 315,온누리상품권,Y,Y
역곡북부시장,경기도 부천시 원미구 역곡1동 84-7,경기 부천시 역곡1동 83-5,온누리상품권,Y,N
강남시장,경기도 부천시 원미구 옥산로 154번길 20,경기 부천시 도당동 275-9,온누리상품권,Y,Y
원미종합시장,경기도 부천시 원미구 원미동 97-12,경기 부천시 원미동 97-12,온누리상품권,Y,N
부천중동시장,경기도 부천시 원미구 장말로 199번길 33,경기 부천시 중동 734-13,온누리상품권,Y,Y
부천상동시장,경기도 부천시 원미구 장말로 200번길 48,경기 부천시 상동 244-3,온누리상품권,N,N
원미부흥시장,경기도 부천시 원미구 조종로 48,경기 부천시 원미동 117-12,온누리상품권,N,N
금호시장,경기도 성남시 분당구 내정로 165,경기 성남시 수내동 32,온누리상품권,Y,Y
